,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,1961-01-01,-0.00556232577460831,-0.019907826026353867,0.00799567704593453,-0.00556232577460831,-0.00556232577460831,0.0,0.0,0.0,0.0,0.0,0.0,-0.00556232577460831
1,1962-01-01,-0.005197105866326889,-0.02021403389791984,0.008898901142749894,-0.005197105866326889,-0.005197105866326889,0.0,0.0,0.0,0.0,0.0,0.0,-0.005197105866326889
2,1963-01-01,-0.0048318859580454695,-0.018388428600872316,0.009279972474960476,-0.0048318859580454695,-0.0048318859580454695,0.0,0.0,0.0,0.0,0.0,0.0,-0.0048318859580454695
3,1964-01-01,-0.004466666048828441,-0.018173565829434205,0.010469618934316378,-0.004466666048828441,-0.004466666048828441,0.0,0.0,0.0,0.0,0.0,0.0,-0.004466666048828441
4,1965-01-01,-0.0041004455371204075,-0.01789941968369594,0.010044483776363949,-0.0041004455371204075,-0.0041004455371204075,0.0,0.0,0.0,0.0,0.0,0.0,-0.0041004455371204075
5,1966-01-01,-0.003735225626872409,-0.017518713423838917,0.009944751693760459,-0.003735225626872409,-0.003735225626872409,0.0,0.0,0.0,0.0,0.0,0.0,-0.003735225626872409
6,1967-01-01,-0.0033700057166244097,-0.01825678036914917,0.00995951995454034,-0.0033700057166244097,-0.0033700057166244097,0.0,0.0,0.0,0.0,0.0,0.0,-0.0033700057166244097
7,1968-01-01,-0.0030047858072778043,-0.0174418031571209,0.011204253496736694,-0.0030047858072778043,-0.0030047858072778043,0.0,0.0,0.0,0.0,0.0,0.0,-0.0030047858072778043
8,1970-01-01,-0.0022733453861668346,-0.017254866920835152,0.012568948374661645,-0.0022733453861668346,-0.0022733453861668346,0.0,0.0,0.0,0.0,0.0,0.0,-0.0022733453861668346
9,1971-01-01,-0.0019081254768569802,-0.01637833730782466,0.012343128670924425,-0.0019081254768569802,-0.0019081254768569802,0.0,0.0,0.0,0.0,0.0,0.0,-0.0019081254768569802
10,1972-01-01,-0.001542905568380947,-0.016368026581816998,0.01217751242707477,-0.001542905568380947,-0.001542905568380947,0.0,0.0,0.0,0.0,0.0,0.0,-0.001542905568380947
11,1973-01-01,-0.0011766850574159375,-0.015585947213316883,0.013335261454432121,-0.0011766850574159375,-0.0011766850574159375,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011766850574159375
12,1974-01-01,-0.0008114651491029822,-0.01581376722915671,0.013302536253027155,-0.0008114651491029822,-0.0008114651491029822,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008114651491029822
13,1975-01-01,-0.0004462452407900268,-0.014158483308995159,0.012813245760985966,-0.0004462452407900268,-0.0004462452407900268,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004462452407900268
14,1976-01-01,-8.102533168479419e-05,-0.014497137421393655,0.013739801174547381,-8.102533168479419e-05,-8.102533168479419e-05,0.0,0.0,0.0,0.0,0.0,0.0,-8.102533168479419e-05
15,1977-01-01,0.0002851951799111378,-0.013408022689054902,0.015202580462440121,0.0002851951799111378,0.0002851951799111378,0.0,0.0,0.0,0.0,0.0,0.0,0.0002851951799111378
16,1978-01-01,0.0006504150893551331,-0.012199018318996526,0.015437452135654664,0.0006504150893551331,0.0006504150893551331,0.0,0.0,0.0,0.0,0.0,0.0,0.0006504150893551331
17,1979-01-01,0.0010156349987991296,-0.013155045287890936,0.016360531428275947,0.0010156349987991296,0.0010156349987991296,0.0,0.0,0.0,0.0,0.0,0.0,0.0010156349987991296
18,1980-01-01,0.001380854907829046,-0.013074748944995359,0.014892353014177514,0.001380854907829046,0.001380854907829046,0.0,0.0,0.0,0.0,0.0,0.0,0.001380854907829046
19,1981-01-01,0.0017470754204424476,-0.012606744432377484,0.015310193592667647,0.0017470754204424476,0.0017470754204424476,0.0,0.0,0.0,0.0,0.0,0.0,0.0017470754204424476
20,1982-01-01,0.0021122953305623715,-0.01190834355849727,0.014868232256545794,0.0021122953305623715,0.0021122953305623715,0.0,0.0,0.0,0.0,0.0,0.0,0.0021122953305623715
21,1983-01-01,0.0024775152399795367,-0.010292653771116397,0.016342467427846126,0.0024775152399795367,0.0024775152399795367,0.0,0.0,0.0,0.0,0.0,0.0,0.0024775152399795367
22,1984-01-01,0.0028427351493967015,-0.01103465853191719,0.017282409834132925,0.0028427351493967015,0.0028427351493967015,0.0,0.0,0.0,0.0,0.0,0.0,0.0028427351493967015
23,1985-01-01,0.003208955662367752,-0.009483865842839471,0.01716488298702931,0.003208955662367752,0.003208955662367752,0.0,0.0,0.0,0.0,0.0,0.0,0.003208955662367752
24,1986-01-01,0.0035741755728443464,-0.011268452690452456,0.017621021072856412,0.0035741755728443464,0.0035741755728443464,0.0,0.0,0.0,0.0,0.0,0.0,0.0035741755728443464
25,1987-01-01,0.003939395482746005,-0.0095021391562742,0.01717291070851216,0.003939395482746005,0.003939395482746005,0.0,0.0,0.0,0.0,0.0,0.0,0.003939395482746005
26,1988-01-01,0.004304615392647662,-0.009151426364193655,0.017871679907713045,0.004304615392647662,0.004304615392647662,0.0,0.0,0.0,0.0,0.0,0.0,0.004304615392647662
27,1989-01-01,0.004670835907023961,-0.009485127749279712,0.018162806653317678,0.004670835907023961,0.004670835907023961,0.0,0.0,0.0,0.0,0.0,0.0,0.004670835907023961
28,1990-01-01,0.005036055818901963,-0.008613187744895336,0.019135940846620632,0.005036055818901963,0.005036055818901963,0.0,0.0,0.0,0.0,0.0,0.0,0.005036055818901963
29,1991-01-01,0.0054012758278711315,-0.00791199323763648,0.020114174561974542,0.0054012758278711315,0.0054012758278711315,0.0,0.0,0.0,0.0,0.0,0.0,0.0054012758278711315
30,1992-01-01,0.005766495839727379,-0.008327787651888179,0.019658294843150532,0.005766495839727379,0.005766495839727379,0.0,0.0,0.0,0.0,0.0,0.0,0.005766495839727379
31,1993-01-01,0.006132716454355836,-0.007983503353064393,0.01983697581061293,0.006132716454355836,0.006132716454355836,0.0,0.0,0.0,0.0,0.0,0.0,0.006132716454355836
32,1994-01-01,0.006497936466334121,-0.008407523495701055,0.01985093221652877,0.006497936466334121,0.006497936466334121,0.0,0.0,0.0,0.0,0.0,0.0,0.006497936466334121
33,1995-01-01,0.006863156478312409,-0.006646831776114041,0.02023579360250518,0.006863156478312409,0.006863156478312409,0.0,0.0,0.0,0.0,0.0,0.0,0.006863156478312409
34,1996-01-01,0.007228376491856505,-0.006359006045929516,0.021600305336490096,0.007228376491856505,0.007228376491856505,0.0,0.0,0.0,0.0,0.0,0.0,0.007228376491856505
35,1997-01-01,0.007594597108177435,-0.005972768271326259,0.020490706344747114,0.007594597108177435,0.007594597108177435,0.0,0.0,0.0,0.0,0.0,0.0,0.007594597108177435
36,1998-01-01,0.007959817121841567,-0.005749660412059588,0.022261505582103942,0.007959817121841567,0.007959817121841567,0.0,0.0,0.0,0.0,0.0,0.0,0.007959817121841567
37,1999-01-01,0.008325037135505697,-0.005660059344535487,0.022938583762096433,0.008325037135505697,0.008325037135505697,0.0,0.0,0.0,0.0,0.0,0.0,0.008325037135505697
38,2000-01-01,0.008690274799356594,-0.005125408011031232,0.02194004158002114,0.008690274799356594,0.008690274799356594,0.0,0.0,0.0,0.0,0.0,0.0,0.008690274799356594
39,2001-01-01,0.00905651311434133,-0.005838546374506368,0.02356912843120454,0.00905651311434133,0.00905651311434133,0.0,0.0,0.0,0.0,0.0,0.0,0.00905651311434133
40,2002-01-01,0.009421750778471539,-0.005054530556321982,0.02403931211850037,0.009421750778471539,0.009421750778471539,0.0,0.0,0.0,0.0,0.0,0.0,0.009421750778471539
41,2003-01-01,0.00978698844378275,-0.004150390937815964,0.023458258598221236,0.00978698844378275,0.00978698844378275,0.0,0.0,0.0,0.0,0.0,0.0,0.00978698844378275
42,2004-01-01,0.01015222610909396,-0.003907383871388731,0.024662464005963027,0.01015222610909396,0.01015222610909396,0.0,0.0,0.0,0.0,0.0,0.0,0.01015222610909396
43,2005-01-01,0.010518464426300595,-0.0034646107269468737,0.02472662606393021,0.010518464426300595,0.010518464426300595,0.0,0.0,0.0,0.0,0.0,0.0,0.010518464426300595
44,2006-01-01,0.010883702092367326,-0.002868998650465886,0.025132050645326295,0.010883702092367326,0.010883702092367326,0.0,0.0,0.0,0.0,0.0,0.0,0.010883702092367326
45,2007-01-01,0.011248939758799212,-0.0033013455401228863,0.025047447310537613,0.011248939758799212,0.011248939758799212,0.0,0.0,0.0,0.0,0.0,0.0,0.011248939758799212
46,2008-01-01,0.011614177425231098,-0.0036440671818925357,0.025112739680662122,0.011614177425231098,0.011614177425231098,0.0,0.0,0.0,0.0,0.0,0.0,0.011614177425231098
47,2009-01-01,0.011980415744029776,-0.002785603491129035,0.02630889655584225,0.011980415744029776,0.011980415744029776,0.0,0.0,0.0,0.0,0.0,0.0,0.011980415744029776
48,2010-01-01,0.012345653411684195,-0.0033512305857398596,0.027218602271236396,0.012345653411684195,0.012345653411684195,0.0,0.0,0.0,0.0,0.0,0.0,0.012345653411684195
49,2011-01-01,0.012710891079338616,-0.0008664427147044696,0.026582643026855597,0.012710891079338616,0.012710891079338616,0.0,0.0,0.0,0.0,0.0,0.0,0.012710891079338616
50,2012-01-01,0.013076128746993034,-0.0003797212473045775,0.027951578821106656,0.013076128746993034,0.013076128746993034,0.0,0.0,0.0,0.0,0.0,0.0,0.013076128746993034
51,2013-01-01,0.01344236706579171,-0.0006051764080761336,0.027244202653476286,0.01344236706579171,0.01344236706579171,0.0,0.0,0.0,0.0,0.0,0.0,0.01344236706579171
52,2014-01-01,0.013807604733446131,-0.00014025643893302524,0.028277469432375715,0.013807604733446131,0.013807604733446131,0.0,0.0,0.0,0.0,0.0,0.0,0.013807604733446131
53,2015-01-01,0.01417284240110055,0.0005594011706942092,0.02857447190207525,0.01417284240110055,0.01417284240110055,0.0,0.0,0.0,0.0,0.0,0.0,0.01417284240110055
54,2016-01-01,0.014538080068754972,-0.000522607422032417,0.028765438169058626,0.014538080068754972,0.014538080068754972,0.0,0.0,0.0,0.0,0.0,0.0,0.014538080068754972
55,2017-01-01,0.014904318387553649,0.0006880961614869148,0.029382557959041055,0.014904318387553649,0.014904318387553649,0.0,0.0,0.0,0.0,0.0,0.0,0.014904318387553649
56,2018-01-01,0.015269556055208067,0.0010417353527555895,0.029631825010124693,0.015269556055208067,0.015269556055208067,0.0,0.0,0.0,0.0,0.0,0.0,0.015269556055208067
57,2019-01-01,0.015634793722862486,0.002297327905645334,0.03039498914134335,0.015634793722862486,0.015634793722862486,0.0,0.0,0.0,0.0,0.0,0.0,0.015634793722862486
58,2020-01-01,0.01600003139051691,0.0015882887818405378,0.02993602017168935,0.01600003139051691,0.01600003139051691,0.0,0.0,0.0,0.0,0.0,0.0,0.01600003139051691
59,2020-12-31,0.016365269058171327,0.001648890166838096,0.03120672009734312,0.016365268563790145,0.016365269571379525,0.0,0.0,0.0,0.0,0.0,0.0,0.016365269058171327
60,2021-12-31,0.016730506725825742,0.0030580459547456394,0.030751440251058998,0.016730505176608672,0.016730508324031886,0.0,0.0,0.0,0.0,0.0,0.0,0.016730506725825742
